1020,COMONDU,GALON,DEL VALLE ENTERA,24,20,480,07/07/2015,martes,27,7,1,Julio,2015,70,70,"1,680","1,680",100%,3,XXXXXXXXXXXX,XXXXXX,Externo,1,Jesus Ramirez ,30
4145,VARIOS,GALON,BLANCO C-358 ROSCA,24,20,480,07/07/2015,martes,27,7,1,Julio,2015,22,22,528,528,100%,3,XXXXXXXXXXXX,XXXXXX,Externo,1,Jesus Ramirez ,30
4145,VARIOS,GALON,BLANCO C-358 ROSCA,24,20,480,07/07/2015,martes,27,7,1,Julio,2015,9,9,216,216,100%,3,XXXXXXXXXXXX,XXXXXX,Externo,1,Jesus Ramirez ,30
4166,MOCHIS,LITRO,YAQUI MOC MUU DESLAC,96,20,1920,08/07/2015,miercoles,27,8,1,Julio,2015,40,40,"3,840","3,840",100%,1,Eugenio Gastelum,05 y 06,Interno,1,Jesus Ramirez ,25
4160,MEXICALI,LITRO,LOW FAT FOREMOST,96,20,1920,08/07/2015,miercoles,27,8,1,Julio,2015,70,70,"6,720","6,720",100%,3,XXXXXXXXXXXX,XXXXXX,Externo,1,Jesus Ramirez ,25
4159,MEXICALI,LITRO,FOREMOST,96,20,1920,08/07/2015,miercoles,27,8,1,Julio,2015,120,120,"11,520","11,520",100%,3,XXXXXXXXXXXX,XXXXXX,Externo,1,Jesus Ramirez ,25
7179,MOCHIS,LITRO,NUTRI YAQUI MOCHIS S/PRECIO REFRESCATE BCS $ 6 $ 11,96,20,1920,08/07/2015,miercoles,27,8,1,Julio,2015,13,13,"1,248","1,248",100%,1,Eugenio Gastelum,05 y 06,Interno,1,Jesus Ramirez ,25
4162,MOCHIS,LITRO,NUTRI YAQUI MOCHIS BATERIAS,96,20,1920,08/07/2015,miercoles,27,8,1,Julio,2015,63,63,"6,048","6,048",100%,1,Eugenio Gastelum,05 y 06,Interno,1,Jesus Ramirez ,25
7035,MOCHIS,LITRO,YAQUI MOC MUU ENTERA,96,20,1920,08/07/2015,miercoles,27,8,1,Julio,2015,200,300,"19,200","28,800",150%,1,Eugenio Gastelum,05 y 06,Interno,1,Jesus Ramirez ,25
4179,MOCHIS,MEDIO GALON,YAQUI MOC MUU DESLAC,54,20,1080,08/07/2015,miercoles,27,8,1,Julio,2015,40,40,"2,160","2,160",100%,1,Eugenio Gastelum,05 y 06,Interno,1,Jesus Ramirez ,25
4171,MEXICALI,MEDIO GALON,LOW FAT 2% FOREMOST,54,20,1080,08/07/2015,miercoles,27,8,1,Julio,2015,447,447,"24,138","24,138",100%,3,XXXXXXXXXXXX,XXXXXX,Externo,1,Jesus Ramirez ,25
4170,MEXICALI,MEDIO GALON,FOREMOST,54,20,1080,08/07/2015,miercoles,27,8,1,Julio,2015,400,400,"21,600","21,600",100%,3,XXXXXXXXXXXX,XXXXXX,Externo,1,Jesus Ramirez ,25
6152,MOCHIS,MEDIO GALON,NUTRI YAQUI MOCHIS S/PRECIO,54,20,1080,08/07/2015,miercoles,27,8,1,Julio,2015,70,70,"3,780","3,780",100%,1,Eugenio Gastelum,05 y 06,Interno,1,Jesus Ramirez ,25
6034,MOCHIS,MEDIO GALON,YAQUI MOC MUU ENTERA,54,20,1080,08/07/2015,miercoles,27,8,1,Julio,2015,250,250,"13,500","13,500",100%,1,Eugenio Gastelum,05 y 06,Interno,1,Jesus Ramirez ,25
1050,MOCHIS,GALON,NUTRI YAQUI MOCHIS  S/P REFRESCATE BCS $ 6 $ 11,24,20,480,08/07/2015,miercoles,27,8,1,Julio,2015,67,67,"1,608","1,608",100%,1,Eugenio Gastelum,05 y 06,Interno,1,Jesus Ramirez ,25
1042,MOCHIS,GALON,NUTRI YAQUI MOCHIS  S/P,24,20,480,08/07/2015,miercoles,27,8,1,Julio,2015,90,90,"2,160","2,160",100%,1,Eugenio Gastelum,05 y 06,Interno,1,Jesus Ramirez ,25
1033,MOCHIS,GALON,YAQUI MOCHIS MUUU ENTERA,24,20,480,08/07/2015,miercoles,27,8,1,Julio,2015,90,90,"2,160","2,160",100%,1,Eugenio Gastelum,05 y 06,Interno,1,Jesus Ramirez ,25
4145,VARIOS,GALON,BLANCO C-358 ROSCA,24,20,480,08/07/2015,miercoles,27,8,1,Julio,2015,55,55,"1,320","1,320",100%,3,XXXXXXXXXXXX,XXXXXX,Externo,1,Jesus Ramirez ,25
4144,AURORA,GALON,AGUA AURORA,24,20,480,08/07/2015,miercoles,27,8,1,Julio,2015,205,205,"4,920","4,920",100%,3,XXXXXXXXXXXX,XXXXXX,Externo,1,Jesus Ramirez ,25
7179,MOCHIS,LITRO,NUTRI YAQUI MOCHIS S/PRECIO REFRESCATE BCS $ 6 $ 11,96,20,1920,09/07/2015,jueves,28,9,1,Julio,2015,60,60,"5,760","5,760",100%,2,Teodoro Escamilla ,03 y 04,Interno,1,Jesus Ramirez ,30
7035,MOCHIS,LITRO,YAQUI MOC MUU ENTERA,96,20,1920,09/07/2015,jueves,28,9,1,Julio,2015,332,332,"31,872","31,872",100%,2,Teodoro Escamilla ,03 y 04,Interno,1,Jesus Ramirez ,30
4158,VARIOS,LITRO,ENVASE BLANCO C-358,96,20,1920,09/07/2015,jueves,28,9,1,Julio,2015,1,1,96,96,100%,3,XXXXXXXXXXXX,XXXXXX,Externo,1,Jesus Ramirez ,30
6152,MOCHIS,MEDIO GALON,NUTRI YAQUI MOCHIS S/PRECIO,54,20,1080,09/07/2015,jueves,28,9,1,Julio,2015,260,260,"14,040","14,040",100%,2,Teodoro Escamilla ,03 y 04,Interno,1,Jesus Ramirez ,30
4169,VARIOS,MEDIO GALON,ENVASE BLANCO C-358,54,20,1080,09/07/2015,jueves,28,9,1,Julio,2015,6,6,324,324,100%,3,XXXXXXXXXXXX,XXXXXX,Externo,1,Jesus Ramirez ,30
4145,VARIOS,GALON,BLANCO C-358 ROSCA,24,20,480,09/07/2015,jueves,28,9,1,Julio,2015,3,3,72,72,100%,3,XXXXXXXXXXXX,XXXXXX,Externo,1,Jesus Ramirez ,30
4160,MEXICALI,LITRO,LOW FAT FOREMOST,96,20,1920,10/07/2015,viernes,28,10,1,Julio,2015,50,50,"4,800","4,800",100%,3,XXXXXXXXXXXX,XXXXXX,Externo,1,Jesus Ramirez ,20
4159,MEXICALI,LITRO,FOREMOST,96,20,1920,10/07/2015,viernes,28,10,1,Julio,2015,140,140,"13,440","13,440",100%,3,XXXXXXXXXXXX,XXXXXX,Externo,1,Jesus Ramirez ,20
7179,MOCHIS,LITRO,NUTRI YAQUI MOCHIS S/PRECIO REFRESCATE BCS $ 6 $ 11,96,20,1920,10/07/2015,viernes,28,10,1,Julio,2015,100,100,"9,600","9,600",100%,1,Eugenio Gastelum,05 y 06,Interno,1,Jesus Ramirez ,20
7035,MOCHIS,LITRO,YAQUI MOC MUU ENTERA,96,20,1920,10/07/2015,viernes,28,10,1,Julio,2015,430,430,"41,280","41,280",100%,1,Eugenio Gastelum,05 y 06,Interno,1,Jesus Ramirez ,20
4175,MOCHIS,MEDIO GALON,YAQUI MOC  MUU LIGHT 1 % LIGERA,54,20,1080,10/07/2015,viernes,28,10,1,Julio,2015,60,60,"3,240","3,240",100%,1,Eugenio Gastelum,05 y 06,Interno,1,Jesus Ramirez ,20
4171,MEXICALI,MEDIO GALON,LOW FAT 2% FOREMOST,54,20,1080,10/07/2015,viernes,28,10,1,Julio,2015,369,369,"19,926","19,926",100%,3,XXXXXXXXXXXX,XXXXXX,Externo,1,Jesus Ramirez ,20
4170,MEXICALI,MEDIO GALON,FOREMOST,54,20,1080,10/07/2015,viernes,28,10,1,Julio,2015,489,489,"26,406","26,406",100%,3,XXXXXXXXXXXX,XXXXXX,Externo,1,Jesus Ramirez ,20
6034,MOCHIS,MEDIO GALON,YAQUI MOC MUU ENTERA,54,20,1080,10/07/2015,viernes,28,10,1,Julio,2015,240,240,"12,960","12,960",100%,1,Eugenio Gastelum,05 y 06,Interno,1,Jesus Ramirez ,20
4169,VARIOS,MEDIO GALON,ENVASE BLANCO C-358,54,20,1080,10/07/2015,viernes,28,10,1,Julio,2015,61,61,"3,294","3,294",100%,3,XXXXXXXXXXXX,XXXXXX,Externo,1,Jesus Ramirez ,20
1050,MOCHIS,GALON,NUTRI YAQUI MOCHIS  S/P REFRESCATE BCS $ 6 $ 11,24,20,480,10/07/2015,viernes,28,10,1,Julio,2015,10,10,240,240,100%,1,Eugenio Gastelum,05 y 06,Interno,1,Jesus Ramirez ,20
1042,MOCHIS,GALON,NUTRI YAQUI MOCHIS  S/P,24,20,480,10/07/2015,viernes,28,10,1,Julio,2015,120,120,"2,880","2,880",100%,1,Eugenio Gastelum,05 y 06,Interno,1,Jesus Ramirez ,20
1033,MOCHIS,GALON,YAQUI MOCHIS MUUU ENTERA,24,20,480,10/07/2015,viernes,28,10,1,Julio,2015,60,60,"1,440","1,440",100%,1,Eugenio Gastelum,05 y 06,Interno,1,Jesus Ramirez ,20
4145,VARIOS,GALON,BLANCO C-358 ROSCA,24,20,480,10/07/2015,viernes,28,10,1,Julio,2015,1,1,24,24,100%,3,XXXXXXXXXXXX,XXXXXX,Externo,1,Jesus Ramirez ,20
7179,MOCHIS,LITRO,NUTRI YAQUI MOCHIS S/PRECIO REFRESCATE BCS $ 6 $ 11,96,20,1920,11/07/2015,sabado,28,11,1,Julio,2015,80,80,"7,680","7,680",100%,2,Teodoro Escamilla ,03 y 04,Interno,1,Jesus Ramirez ,35
4161,MOCHIS,LITRO,YAQUI MOC  NARANJA,96,20,1920,11/07/2015,sabado,28,11,1,Julio,2015,80,80,"7,680","7,680",100%,2,Teodoro Escamilla ,03 y 04,Interno,1,Jesus Ramirez ,35
6152,MOCHIS,MEDIO GALON,NUTRI YAQUI MOCHIS S/PRECIO,54,20,1080,11/07/2015,sabado,28,11,1,Julio,2015,200,200,"10,800","10,800",100%,2,Teodoro Escamilla ,03 y 04,Interno,1,Jesus Ramirez ,35
6034,MOCHIS,MEDIO GALON,YAQUI MOC MUU ENTERA,54,20,1080,11/07/2015,sabado,28,11,1,Julio,2015,240,240,"12,960","12,960",100%,2,Teodoro Escamilla ,03 y 04,Interno,1,Jesus Ramirez ,35
4169,VARIOS,MEDIO GALON,ENVASE BLANCO C-358,54,20,1080,11/07/2015,sabado,28,11,1,Julio,2015,46,46,"2,484","2,484",100%,3,XXXXXXXXXXXX,XXXXXX,Externo,1,Jesus Ramirez ,35
1042,MOCHIS,GALON,NUTRI YAQUI MOCHIS  S/P,24,20,480,11/07/2015,sabado,28,11,1,Julio,2015,40,40,960,960,100%,2,Teodoro Escamilla ,03 y 04,Interno,1,Jesus Ramirez ,35
4145,VARIOS,GALON,BLANCO C-358 ROSCA,24,20,480,11/07/2015,sabado,28,11,1,Julio,2015,25,25,600,600,100%,3,XXXXXXXXXXXX,XXXXXX,Externo,1,Jesus Ramirez ,35
4145,VARIOS,GALON,BLANCO C-358 ROSCA,24,20,480,11/07/2015,sabado,28,11,1,Julio,2015,3,3,72,72,100%,3,XXXXXXXXXXXX,XXXXXX,Externo,1,Jesus Ramirez ,35
4145,VARIOS,GALON,BLANCO C-358 ROSCA,24,20,480,13/07/2015,lunes,28,13,2,Julio,2015,63,63,"1,512","1,512",100%,3,XXXXXXXXXXXX,XXXXXX,Externo,1,Jesus Ramirez ,12
4160,MEXICALI,LITRO,LOW FAT FOREMOST,96,20,1920,14/07/2015,martes,28,14,2,Julio,2015,40,40,"3,840","3,840",100%,3,XXXXXXXXXXXX,XXXXXX,Externo,1,Jesus Ramirez ,12
4159,MEXICALI,LITRO,FOREMOST,96,20,1920,14/07/2015,martes,28,14,2,Julio,2015,120,120,"11,520","11,520",100%,3,XXXXXXXXXXXX,XXXXXX,Externo,1,Jesus Ramirez ,12
7035,MOCHIS,LITRO,YAQUI MOC MUU ENTERA,96,20,1920,14/07/2015,martes,28,14,2,Julio,2015,520,520,"49,920","49,920",100%,1,Eugenio Gastelum,05 y 06,Interno,1,Jesus Ramirez ,30
4171,MEXICALI,MEDIO GALON,LOW FAT 2% FOREMOST,54,20,1080,14/07/2015,martes,28,14,2,Julio,2015,420,496,"22,680","26,784",118%,3,XXXXXXXXXXXX,XXXXXX,Externo,1,Jesus Ramirez ,12
4170,MEXICALI,MEDIO GALON,FOREMOST,54,20,1080,14/07/2015,martes,28,14,2,Julio,2015,480,577,"25,920","31,158",120%,3,XXXXXXXXXXXX,XXXXXX,Externo,1,Jesus Ramirez ,12
4169,VARIOS,MEDIO GALON,ENVASE BLANCO C-358,54,20,1080,14/07/2015,martes,28,14,2,Julio,2015,10,10,540,540,100%,3,XXXXXXXXXXXX,XXXXXX,Externo,1,Jesus Ramirez ,12
1042,MOCHIS,GALON,NUTRI YAQUI MOCHIS  S/P,24,20,480,14/07/2015,martes,28,14,2,Julio,2015,80,80,"1,920","1,920",100%,1,Eugenio Gastelum,05 y 06,Interno,1,Jesus Ramirez ,30
1033,MOCHIS,GALON,YAQUI MOCHIS MUUU ENTERA,24,20,480,14/07/2015,martes,28,14,2,Julio,2015,40,40,960,960,100%,1,Eugenio Gastelum,05 y 06,Interno,1,Jesus Ramirez ,30
4145,VARIOS,GALON,BLANCO C-358 ROSCA,24,20,480,14/07/2015,martes,28,14,2,Julio,2015,25,25,600,600,100%,3,XXXXXXXXXXXX,XXXXXX,Externo,1,Jesus Ramirez ,12
4145,VARIOS,GALON,BLANCO C-358 ROSCA,24,20,480,14/07/2015,martes,28,14,2,Julio,2015,59,59,"1,416","1,416",100%,3,XXXXXXXXXXXX,XXXXXX,Externo,1,Jesus Ramirez ,12
7353,MOCHIS,LITRO,NUTRI YAQUI MOCHIS S/PRECIO,96,20,1920,15/07/2015,miercoles,28,15,2,Julio,2015,260,260,"24,960","24,960",100%,2,Teodoro Escamilla ,03 y 04,Interno,2,Otros,20
7035,MOCHIS,LITRO,YAQUI MOC MUU ENTERA,96,20,1920,15/07/2015,miercoles,28,15,2,Julio,2015,260,260,"24,960","24,960",100%,2,Teodoro Escamilla ,03 y 04,Interno,2,Otros,20
4175,MOCHIS,MEDIO GALON,YAQUI MOC  MUU LIGHT 1 % LIGERA,54,20,1080,15/07/2015,miercoles,28,15,2,Julio,2015,120,120,"6,480","6,480",100%,2,Teodoro Escamilla ,03 y 04,Interno,2,Otros,20
6152,MOCHIS,MEDIO GALON,NUTRI YAQUI MOCHIS S/PRECIO,54,20,1080,15/07/2015,miercoles,28,15,2,Julio,2015,60,60,"3,240","3,240",100%,2,Teodoro Escamilla ,03 y 04,Interno,2,Otros,20
6034,MOCHIS,MEDIO GALON,YAQUI MOC MUU ENTERA,54,20,1080,15/07/2015,miercoles,28,15,2,Julio,2015,240,240,"12,960","12,960",100%,2,Teodoro Escamilla ,03 y 04,Interno,2,Otros,20
4169,VARIOS,MEDIO GALON,ENVASE BLANCO C-358,54,20,1080,15/07/2015,miercoles,28,15,2,Julio,2015,1,1,54,54,100%,3,XXXXXXXXXXXX,XXXXXX,Externo,2,Otros,3
1042,MOCHIS,GALON,NUTRI YAQUI MOCHIS  S/P,24,20,480,15/07/2015,miercoles,28,15,2,Julio,2015,40,40,960,960,100%,2,Teodoro Escamilla ,03 y 04,Interno,2,Otros,20
